Subset,Hours,Actual_MWh,WPL_Ratio_%,Atlite_Ratio_%,WPL_Corr,Atlite_Corr,WPL_MAE_kW,Atlite_MAE_kW
Overall,8760,31497.063556853995,107.76165253968017,130.77744883111373,0.8769008235667196,0.9015643191172477,1332.2546988190873,1442.4768422030284
Winter (DJFM),2904,15026.126475553574,100.18350511257925,124.08713815140389,0.9043905221246479,0.9145541794185966,1379.4740510943739,1568.818531682177
Summer (JJAS),2928,7333.455567401323,130.10645299784844,144.41103994426803,0.8311615038073377,0.8623178120673207,1394.9923481007463,1397.6596078038829
Daytime (07:00-19:00),4380,16129.660614425566,125.34923229828287,126.24924623682763,0.8816292711781635,0.9059101612866085,1507.1369535797198,1377.892825448479
Nighttime (19:00-07:00),4380,15367.40294242843,89.30168935669002,135.53026043583463,0.896619643558168,0.8982393613073223,1157.3724440584542,1507.0608589575775
Winter Day,1452,7483.346388734706,109.0527945541095,123.32278849714164,0.9096039557205194,0.916541956414012,1385.65599471498,1559.0942085111105
Winter Night,1452,7542.780086818868,91.38410166332527,124.84546507584247,0.9087549839656391,0.912742102455466,1373.2921074737678,1578.5428548532432
Summer Day,1464,3961.449243768719,161.2101257480103,134.57568801577156,0.8539352527228122,0.8750490015805118,1866.2048155455586,1306.0396958018137
Summer Night,1464,3372.0063236326037,93.5657086845874,155.96565868453425,0.858510085689593,0.851827546732011,923.7798806559342,1489.2795198059518
