Configuration,Window,Ratio_%,Corr,MAE_MW,RMSE_MW,Sim_GWh,ENTSOE_GWh,n
PVLib MaStR raw (ERA5+SAPM),Full_8760,184.74,0.9346,5678.6,10086.5,101999.0,55212.0,8760
PVLib MaStR raw (ERA5+SAPM),Daytime_07-17,189.4,0.8954,11877.5,14837.1,98277.8,51888.2,4015
PVLib MaStR × η_inv,Full_8760,166.27,0.9346,4617.4,8187.4,91799.1,55212.0,8760
PVLib MaStR × η_inv,Daytime_07-17,170.46,0.8954,9562.4,12024.4,88450.0,51888.2,4015
PVLib MaStR × aging,Full_8760,178.39,0.9346,5307.8,9425.8,98490.2,55212.0,8760
PVLib MaStR × aging,Daytime_07-17,182.89,0.8954,11072.7,13859.6,94897.1,51888.2,4015
PVLib MaStR × η_inv × aging,Full_8760,160.55,0.9346,4302.2,7615.8,88641.2,55212.0,8760
PVLib MaStR × η_inv × aging,Daytime_07-17,164.6,0.8954,8869.9,11175.7,85407.4,51888.2,4015
PVLib 30/180 × η_inv × aging,Full_8760,164.96,0.9366,4555.4,8204.5,91075.0,55212.0,8760
PVLib 30/180 × η_inv × aging,Daytime_07-17,170.14,0.8982,9533.8,12079.4,88284.5,51888.2,4015
Atlite CSi raw (ERA5),Full_8760,162.5,0.9396,4557.0,7986.9,89720.8,55212.0,8760
Atlite CSi raw (ERA5),Daytime_07-17,169.05,0.9103,9331.4,11692.2,87716.6,51888.2,4015
Atlite × aging,Full_8760,156.91,0.9396,4244.9,7417.5,86634.4,55212.0,8760
Atlite × aging,Daytime_07-17,163.23,0.9103,8645.1,10839.8,84699.1,51888.2,4015
